canonicalsmiles,smiles,inchikey,molecularweight
[O-]Cl(=O)=O.[K+],O[Cl+2](O)O,VKJKEPKFPUWCAS-UHFFFAOYSA-M,122.55
C(=NN)(N)N,NN=C(N)N,HAMNKKUPIHEESI-UHFFFAOYSA-N,74.09
C=CC(CCC(=O)[O-])[NH3+],C=CC(N)CCC(=O)O,PJDFLNIOAUIZSL-UHFFFAOYSA-N,129.16
CC(=O)NCCCCN,CC(=O)NCCCCN,KLZGKIDSEJWEDW-UHFFFAOYSA-N,130.19
C(C(=O)N)N(CC(=O)O)CC(=O)O,NC(=O)CN(CC(=O)O)CC(=O)O,QZTKDVCDBIDYMD-UHFFFAOYSA-N,190.15
CC(C(=O)CCCCCC(=O)O)N,CC(N)C(=O)CCCCCC(=O)O,GUAHPAJOXVYFON-ZETCQYMHSA-N,187.24
C(CC(=O)[O-])CO,O=C(O)CCCO,SJZRECIVHVDYJC-UHFFFAOYSA-M,103.1
CC(C1=CC=CC=C1)C(=O)O,CC(C(=O)O)c1ccccc1,YPGCWEMNNLXISK-UHFFFAOYSA-N,150.17
C#CCNC1CCC2=CC=CC=C12,C#CCNC1CCc2ccccc21,RUOKEQAAGRXIBM-GFCCVEGCSA-N,171.24
C1N2CN3CN1CN(C2)C3,C1N2CN3CN1CN(C2)C3,VKYKSIONXSXAKP-UHFFFAOYSA-N,140.19
C1=NC2=C(N1)C(=S)N=C(N2)N,Nc1nc(=S)c2[nH]cnc2[nH]1,WYWHKKSPHMUBEB-UHFFFAOYSA-N,167.19
C1=CC(=C(C=C1N)O)C(=O)[O-].[Na+],Nc1ccc(C(=O)O)c(O)c1,FVVDKUPCWXUVNP-UHFFFAOYSA-M,175.12
CCC(C)C(C(=O)O)N,CCC(C)C(N)C(=O)O,AGPKZVBTJJNPAG-UHNVWZDZSA-N,131.17
CC1C(O1)P(=O)([O-])[O-].[Na+].[Na+],CC1OC1P(=O)(O)O,QZIQJIKUVJMTDG-JSTPYPERSA-L,182.02
CC(=NO)C(=O)C,CC(=O)C(C)=NO,FSEUPUDHEBLWJY-UHFFFAOYSA-N,101.1
C=CC#N,C=CC#N,NLHHRLWOUZZQLW-UHFFFAOYSA-N,53.06
CCCCOC(=O)C(=C)C#N,C=C(C#N)C(=O)OCCCC,JJJFUHOGVZWXNQ-UHFFFAOYSA-N,153.18
CN(C)C(=S)N(C)C,CN(C)C(=S)N(C)C,MNOILHPDHOHILI-UHFFFAOYSA-N,132.23
[CH2-]C(C(=O)O)N,CC(N)C(=O)O,RBZUPETUJOEOGI-REOHCLBHSA-N,88.09
CCC1=CC=C(C=C1)C(=O)O,CCc1ccc(C(=O)O)cc1,ZQVKTHRQIXSMGY-UHFFFAOYSA-N,150.17
[NH4+].[NH4+].[S-2],[S-2],UYJXRRSPUVSSMN-UHFFFAOYSA-P,68.15
C(C(=O)N)(N)O,NC(=O)C(N)O,INSITUAMMWMRDA-UHFFFAOYSA-N,90.08
CCC1(C(=O)C(CNC1=O)C)CC,CCC1(CC)C(=O)NCC(C)C1=O,SIDLZWOQUZRBRU-UHFFFAOYSA-N,183.25
C(COP(=O)(O)O)N,NCCOP(=O)(O)O,SUHOOTKUPISOBE-UHFFFAOYSA-N,141.06
CN1CC(=O)N=C1N,CN1CC(=O)N=C1N,DDRJAANPRJIHGJ-UHFFFAOYSA-N,113.12
CC1(C2CCC(=C)C1C2)C,C=C1CCC2CC1C2(C)C,WTARULDDTDQWMU-UHFFFAOYSA-N,136.23
C(C1C(C(C(C(O1)O)N)O)O)O,NC1C(O)OC(CO)C(O)C1O,MSWZFWKMSRAUBD-QZABAPFNSA-N,179.17
C=CCSCC=C,C=CCSCC=C,UBJVUCKUDDKUJF-UHFFFAOYSA-N,114.21
CC1=CC(=CC=C1)C(=O)C(C)NC,CNC(C)C(=O)c1cccc(C)c1,QDNXSIYWHYGMCD-UHFFFAOYSA-N,177.24
C1=CC=CC=CC=C1,C1=CC=CC=CC=C1,KDUIUFJBNGTBMD-DLMDZQPMSA-N,104.15
CC(=O)C(=O)[O-].[Na+],CC(=O)C(=O)O,DAEPDZWVDSPTHF-UHFFFAOYSA-M,110.04
C1=C(C(=O)C1=O)O,O=c1cc(O)c1=O,KGPQKNJSZNXOPV-UHFFFAOYSA-N,98.06
CC(C(C1=CC=CC=C1)O)N.Cl,CC(N)C(O)c1ccccc1,DYWNLSQWJMTVGJ-UHFFFAOYSA-N,187.66
C(CO)C#N,N#CCCO,WSGYTJNNHPZFKR-UHFFFAOYSA-N,71.08
C1=C(N=C(C(=O)N1)C(=O)N)F,NC(=O)c1nc(F)c[nH]c1=O,ZCGNOVWYSGBHAU-UHFFFAOYSA-N,157.1
CC1C(O1)P(=O)([O-])[O-].[Ca+2],CC1OC1P(=O)(O)O,YMZJBJPWTXJQMR-MUWMCQJSSA-L,176.12
CC(=NOC(=O)NC)SC,CNC(=O)ON=C(C)SC,UHXUZOCRWCRNSJ-UHFFFAOYSA-N,162.21
CCC1C(C(C(C(O1)O)O)O)O,CCC1OC(O)C(O)C(O)C1O,HIPAIKSXHJHWJX-PZRMXXKTSA-N,178.18
C1=C(C=C(C=C1Cl)Cl)Cl,Clc1cc(Cl)cc(Cl)c1,XKEFYDZQGKAQCN-UHFFFAOYSA-N,181.4
CC(C(C1=CC(=CC=C1)O)O)NC,CNC(C)C(O)c1cccc(O)c1,KEEFJRKWMCQJLN-JVVVGQRLSA-N,180.23
C1=NNC2=C1C(=O)NC=N2,O=c1[nH]cnc2[nH]ncc12,OFCNXPDARWKPPY-UHFFFAOYSA-N,136.11
CC(=O)OCC[N+](C)(C)C.[Cl-],CC(=O)OCC[N+](C)(C)C,JUGOREOARAHOCO-UHFFFAOYSA-M,181.66
CP(=O)(O)O,CP(=O)(O)O,YACKEPLHDIMKIO-UHFFFAOYSA-N,96.022
CC(=O)CCC(=O)O.[Ca],CC(=O)CCC(=O)O,ZPJZMHXFDIHATJ-UHFFFAOYSA-N,156.19
C(C(C1C(=C(C(=O)O1)[O-])O)O)O,O=C1OC(C(O)CO)C(O)C1=O,CIWBSHSKHKDKBQ-JLAZNSOCSA-M,175.12
[O-]S(=O)(=S)[O-].[Na+].[Na+],O=S(O)(O)=S,AKHNMLFCWUSKQB-UHFFFAOYSA-L,158.11
CC(C(=O)C1=CC=CC=C1)NC,CNC(C)C(=O)c1ccccc1,LPLLVINFLBSFRP-UHFFFAOYSA-N,163.22
C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2,C1=Cc2ccccc2Nc2ccccc21,LCGTWRLJTMHIQZ-UHFFFAOYSA-N,193.24
CCOC(=O)C1=CC=CC(=N1)C(=O)C,CCOC(=O)c1cccc(C(C)=O)n1,COYXIUHSZNHMAS-UHFFFAOYSA-N,193.2
C1=CC(=CC=C1CC(C(=O)[O-])[NH3+])O,NC(Cc1ccc(O)cc1)C(=O)O,OUYCCCASQSFEME-QMMMGPOBSA-N,181.19
C=CC=O,C=CC=O,HGINCPLSRVDWNT-UHFFFAOYSA-N,56.06
CN(C)CC(=O)O,CN(C)CC(=O)O,FFDGPVCHZBVARC-UHFFFAOYSA-N,103.12
C1=CC2=C(C=C1C(=[NH2+])N)NC=N2,N=C(N)c1ccc2nc[nH]c2c1,UHGFPMUGEQINGV-UHFFFAOYSA-O,161.18
C1CC(CCC1CC(=O)O)O,O=C(O)CC1CCC(O)CC1,ALTAAUJNHYWOGS-UHFFFAOYSA-N,158.19
C1C(O1)C=O,O=CC1CO1,IWYRWIUNAVNFPE-UHFFFAOYSA-N,72.06
C[N+](C)(C)NCCC(=O)[O-].O.O,C[N+](C)(C)NCCC(=O)[O-],JFWLFLLRLZSBRA-UHFFFAOYSA-N,182.22
